Symbol,EPS,PE_Ratio,Dividend_Yield,ROE,Book_Value,Debt_to_Equity
HSPI,0.29,30.38,,,95.504,
HTL,1.64,26.1,,,45.177,
HUBC,7.15,31.16,,,171.103,
HUMNL,0.28,39.46,,,10.598,
HUSI,,0.45382753,,,-1.714,
HWQS,2.82,6.94,,,11.412,
IBFL,(1.03),-220.26,,,185.892,
IBLHL,0.63,72.65,,,24.65,
ICCI,0.15,81.87,,,29.755,
ICCT,0.15,12.67,,,,
ICI,20.74,28.52,,,312.664,
ICIBL,0.11,37.55,,,2.835,
ICL,2.81,51.36,,,108.508,
ICLR1,,,,,,
IDRT,(1.45),-19.73,,,105.375,
IDSM,(1.47),-19.33,,,13.54,
IDYM,(2.97),-42.7,,,609.179,
IFSL,(0.48),-328.79,,,,
IGIBL,0.00,,,,,
IGIHL,(0.66),-345.48,,,471.664,
IGIIL,(0.04),-7634.5,,,,
IGIL,0.47,42.49,,,16.095,
ILP,2.19,37.3,,,40.028,
ILTM,(721.27),-3.33,,,,
IMAGE,0.89,26.15,,,20.202,
IMAGER1,,,,,,
IML,0.12,196.33,,,106.064,
IMS,0.06,274.83,,,,
IMSL,1.56,8.87,,,,
INDU,85.21,25.01,,,979.041,
INIL,3.87,40.73,,,246.499,
INKL,0.06,1340.33,,,20.626,
INL,,,,,,
INMF,,,,,,
IPAK,0.53,55.77,,,,
IREIT,0.11,73.91,,,,
ISHT,(9.29),-1.94,,,,
ISIL,15.19,124.91,,,402.954,
ISL,1.82,40.6,,,58.656,
ISTM,(0.79),-10.11,,,,
ITANZ,1.12,25.86,,,,
ITSL,,,,,,
ITTEFAQ,(0.78),-9.81,,,22.79,
JATM,(2.51),-8.69,,,58.157,
JDMT,(10.90),-10.77,,,733.595,
JDWS,49.16,17.74,,,670.83,
JGICL,8.15,8.78,,,99.756,
JKSM,3.13,52.94,,,144.479,
JLICL,3.10,54.87,,,187.669,
JOPP,(0.44),-363.77,,,,
JOVC,2.02,0.94,,,,
JPGL,(0.59),-3.22,,,-37.279,
JSBL,0.51,26.78,,,33.36,
JSBLR1,,,,,,
JSCL,0.28,64.29,,,69.917,
JSCLR1,,,,,,
JSGBETF,,,,,,
JSGCL,7.51,19.0,,,136.85,
JSIL,1.03,39.5,,,42.879,
JSMFETF,,,,,,
JSML,1.07,95.88,,,310.152,
JUBS,(0.02),-3383.0,,,35.637,
JVDC,5.07,24.15,,,67.751,
JVDCPS,,,,,67.751,
JVDCR1,,,,,,
KACM,0.30,53.33,,,,
KAKL,,,,,,
KAPCO,0.78,35.04,,,63.305,
KASBM,0.32,3.72,,,,
KCL,(1.92),-76.51,,,62.068,
KEL,0.21,36.1,,,3.584,
KHSM,1.65,5.24,,,,
KHTC,68.63,4.6,,,320.831,
KHYT,(2.14),-754.52,,,,
KML,0.03,277.67,,,20.455,
KOHC,2.03,38.62,,,60.073,
KOHE,1.32,11.91,,,26.635,
KOHP,0.20,133.35,,,10.547,
KOHTM,3.48,14.88,,,221.476,
KOIL,0.62,76.76,,,35.56,
KOSM,(0.05),-109.8,,,0.33,
KPUS,5.80,128.27,,,318.119,
KSBP,2.28,84.05,,,137.766,
KSTM,(0.38),-24.39,,,-8.431,
KTML,0.65,72.98,,,60.011,
LCI,4.00,57.0,,,122.818,
LEUL,(0.07),-455.14,,,2.56,
LINDE,9.59,25.03,,,,
LIVEN,(0.03),-1211.33,,,,
LIVENR,,,,,,
LMSM,12.17,5.25,,,76.102,
LOADS,0.44,29.98,,,14.067,
LOADSR1,,,,,,
LOTCHEM,0.97,27.06,,,15.541,
LPCL,0.41,51.71,,,,
LPGL,0.17,457.24,,,148.297,
LPL,0.76,26.04,,,42.009,
LSECL,0.02,264.5,,,,
LSECLR,,,,,,
LSEFSL,(0.42),-33.33,,,,
LSEPL,0.06,77.5,,,,
LSEVL,(0.09),-99.56,,,,
LSEVLR,,,,,,
LUCK,9.21,44.64,,,262.761,
MACFL,1.83,17.65,,,37.442,
MACTER,2.00,137.37,,,86.14,
MARI,17.63,35.89,,,237.744,
MCB,10.80,37.2,,,283.876,
MCBAH,1.46,16.44,,,,
MCBIM,2.14,81.32,,,56.392,
MDTL,0.11,53.18,,,-1.875,
MDTM,,,,,,
MEBL,13.00,37.45,,,157.879,
MEHT,6.41,39.0,,,632.284,
MERIT,(0.24),-41.42,,,12.01,
MERITR1,,,,,,
META,0.21,46.05,,,,
MFFL,(2.92),-52.62,,,33.324,
MFFLR1,,,,,,
MFL,0.24,222.46,,,88.346,
MFTM,,,,,,
MIIETF,,,,,,
MIRKS,,0.9358082,,,37.78,
MLCF,0.92,84.64,,,76.425,
MLCFR1,,,,,,
MODAM,(0.01),-573.0,,,,
MODAMR1,,,,,,
MOHE,,,,,,
MOIL,(4.98),-2.06,,,,
MOON,(0.49),-44.9,,,,
MQTM,(56.11),-0.34,,,73.513,
MRNS,2.63,24.4,,,66.158,
MSCL,0.03,1410.0,,,26.502,
MSOT,2.78,25.23,,,247.755,
MSOTPS,,,,,,
MTIL,(0.24),-163.92,,,,
MTL,15.62,33.98,,,43.508,
MUBT,,,,,37.914,
MUGHAL,1.25,56.59,,,82.06,
MUGHALC,0.70,88.51,,,,
MUGHALR1,,,,,,
MUKT,,,,,,
MUREB,23.17,40.29,,,677.789,
MWMP,0.57,93.98,,,,
MZNPETF,,,,,,
MZSM,(5.82),-0.86,,,,
NAFL,,,,,,
NAGC,1.31,53.44,,,256.65,
NATF,11.43,33.0,,,128.087,
NATM,(8.49),-9.42,,,,
NBP,7.86,22.37,,,252.049,
NBPGETF,,,,,,
NCL,,,,,,
NCML,,,,,,
NCPL,,,,,,
NESTLE,,,,,,
NETSOL,2.52,49.44,,,,
NEXT,0.88,13.15,,,7.034,
NIB,0.02,70.5,,,,
NICL,2.01,84.05,,,88.796,
NINA,(1.27),-0.8,,,,
NITGETF,,,,,,
NMFL,,,,,,
NML,1.55,88.26,,,492.364,
NONS,5.45,16.25,,,129.877,
NORS,,,,,,
NPL,1.95,37.81,,,83.692,
NPSM,(18.49),-1.08,,,-32.258,
NRL,91.31,3.99,,,651.569,
NRSL,0.57,59.68,,,25.809,
NSRM,1.16,114.27,,,101.34,
OBOY,0.44,21.41,,,,
OBOYR1,,,,,,
OCTOPUS,(0.21),-148.95,,,17.301,
OGDC,9.82,31.24,,,321.707,
OLPL,2.10,23.81,,,62.355,
OLPM,0.99,23.77,,,29.238,
OLSM,(0.97),-12.34,,,,
OML,0.68,44.18,,,23.829,
ORIXM,0.48,34.38,,,23.812,
ORM,0.28,34.07,,,19.754,
OTSU,4.16,70.16,,,84.755,
PABC,3.85,26.94,,,60.801,
PACE,0.40,27.57,,,4.833,
PAEL,0.94,40.86,,,53.5,
PAKCEM,0.41,52.02,,,,
PAKD,0.26,438.08,,,120.649,
PAKL,(0.69),-63.41,,,-95.887,
PAKMI,,,,,,
PAKOXY,7.92,33.49,,,134.602,
PAKQATAR,0.15,121.4,,,,
PAKRI,0.64,24.77,,,28.736,
PAKT,36.57,38.38,,,183.817,
PASL,(0.06),-41.5,,,-2.868,
PASM,(0.05),-97.6,,,-35.463,
PCAL,(0.13),-1090.54,,,178.197,
PCML,(3.65),-25.87,,,,
PDGH,,,,,,
PECO,,,,,6504.622,
PGCL,4.41,68.03,,,,
PGF,5.86,5.21,,,,
PGIC,(0.16),-29.69,,,,
PGLC,0.44,29.77,,,17.075,
PHDL,,,,,79.046,
PIAA,,,,,-97.052,
PIAB,,,,,-97.052,
PIAHCLA,,,,,-108.74,
PIAHCLB,(0.01),-1745000.0,,,-108.74,
PIBTL,0.33,46.09,,,9.849,
PICL,,,,,,
PICT,0.44,103.84,,,11.971,
PIF,2.98,4.52,,,,
PIL,(0.10),-59.6,,,-0.833,
PIM,,,,,,
PINL,1.87,4.87,,,25.572,
PIOC,6.70,32.56,,,221.818,
PKGI,(0.19),-106.63,,,13.79,
PKGP,(0.52),-83.17,,,37.742,
PKGS,2.33,309.23,,,738.767,
PMI,,,,,5.668,
PMPK,(18.17),-78.8,,,61.355,
PMRS,(26.94),-18.8,,,1331.261,
PNGRS,(4.03),-1.34,,,,
PNSC,,3.5747075,,,522.418,
POL,27.46,23.98,,,285.168,
POML,0.50,272.62,,,333.997,
POWER,0.66,27.15,,,18.336,
POWERPS,,,,,18.336,
POWERR1,,,,,,
PPL,7.63,27.41,,,268.955,
PPP,6.57,20.14,,,220.654,
PPVC,(0.30),-49.27,,,-2.28,
PQGTL,0.30,43.7,,,,
PREMA,0.77,42.79,,,29.909,
PRET,33.30,12.41,,,1433.38,
PRIB,,,,,,
PRIC,(0.20),-5.65,,,,
PRL,15.78,2.21,,,61.396,
PRLR1,,,,,,
PRWM,3.94,16.51,,,138.008,
PSEL,15.14,55.73,,,1385.101,
PSMC,46.24,13.17,,,119.296,
PSO,55.37,6.44,,,567.202,
PSX,0.61,59.74,,,14.721,
PSYL,1.27,55.24,,,34.945,
PTC,0.18,274.61,,,7.227,
PTL,1.85,27.79,,,54.308,
PUDF,,,,,,
QTECH,0.12,271.0,,,,
QUET,(25.52),-0.6,,,92.726,
QUICE,0.05,475.0,,,4.694,
QUSW,,,,,,
RAVT,1.21,18.47,,,1.112,
RCML,6.13,65.29,,,1490.887,
REDCO,0.81,32.62,,,26.159,
REGAL,,,,,,
REWM,6.33,27.49,,,349.201,
RICL,0.59,21.86,,,15.95,
RMPL,220.09,42.66,,,3377.736,
RPL,0.27,52.93,,,61.898,
RUBY,(0.09),-129.0,,,13.325,
RUPL,(7.21),-3.54,,,173.748,
SAIF,(0.58),-45.97,,,143.535,
SALT,(97.49),-3.86,,,,
SANE,(1.31),-6.16,,,-110.553,
SANSM,10.66,11.77,,,272.088,
SAPL,48.68,17.87,,,,
SAPT,39.54,33.51,,,3766.771,
SARC,2.05,36.01,,,61.902,
SASML,(4.36),-65.28,,,,
SAZEW,106.51,19.15,,,496.851,
SBL,0.19,50.16,,,18.647,
SCBPL,1.45,39.53,,,28.531,
SCHT,,,,,,
SCL,8.07,92.94,,,289.556,
SDIL,,,,,,
SDOT,,,,,,
SEARL,0.89,98.08,,,57.604,
SEARLR1,,,,,,
SEL,,,,,73.968,
SEPCO,(12.89),-0.17,,,,
SEPL,2.19,65.71,,,151.371,
SERF,(1.98),-6.53,,,,
SERT,(1.30),-23.44,,,69.716,
SFAT,(6.52),-0.29,,,,
SFL,(35.35),-28.28,,,4341.977,
SFLL,(0.15),-1066.67,,,,
SGABL,(0.29),-434.48,,,60.92,
SGF,2.50,40.3,,,40.641,
SGFL,,,,,,
SGPL,(0.03),-1638.67,,,-0.04,
SHCI,(0.04),-162.25,,,-4.156,
SHCM,(1.24),-35.1,,,,
SHDT,2.21,18.36,,,114.778,
SHDTR1,,,,,,
SHEL,(2.78),-66.55,,,96.22,
SHEZ,11.46,20.53,,,159.281,
SHFA,,3.4805162,,,253.362,
SHJS,0.72,214.25,,,279.07,
SHNI,0.39,18.56,,,10.945,
SHSML,7.22,54.43,,,592.162,
SIBL,0.07,103.0,,,13.425,
SICL,(1.63),-26.99,,,,
SIEM,7.27,208.53,,,762.619,
SILK,(0.35),-3.29,,,-4.208,
SINDM,,,,,44.585,
SING,3.50,9.36,,,,
SITC,20.94,42.6,,,930.059,
SJTM,(0.47),-53.19,,,,
SKRS,0.06,445.33,,,16.526,
SLCL,,,,,-1.19,
SLGL,0.65,21.92,,,,
SLL,,,,,-7.768,
SLSO,,,,,,
SLSOPP,,,,,,
SLSOPVI,,,,,,
SLYT,(0.94),-12.85,,,-56.187,
SMBL,(0.34),-6.38,,,,
SMBLCPSA,,,,,,
SMBLCPSB,,,,,,
SMCPL,0.89,44.03,,,17.973,
SML,(6.10),-20.85,,,51.823,
SMLR1,,,,,,
SMTM,0.04,297.5,,,,
SNAI,0.36,97.17,,,36.21,
SNBL,1.00,18.85,,,33.368,
SNGP,4.62,21.12,,,119.724,
SPCL,0.44,2.05,,,,
SPEL,1.64,24.57,,,34.267,
SPL,(0.44),-164.55,,,22.084,
SPLC,0.21,4.29,,,-21.54,
SPLCTFC3,,,,,,
SPWL,0.15,63.07,,,26.939,
SRR,(0.05),-330.0,,,,
SRSM,(5.21),-7.74,,,,
SRVI,11.33,146.04,,,493.852,
SSGC,(0.13),-204.0,,,15.151,
SSIC,,,,,,
SSML,(0.86),-29.05,,,1.935,
SSOM,13.97,29.48,,,,
STCL,(1.45),-7.65,,,8.734,
STJT,9.13,13.03,,,244.857,
STL,49.99,1.07,,,,
STML,4.85,6.05,,,85.554,
STPL,0.03,230.33,,,4.07,
STYLERS,0.65,70.78,,,,
SUCM,,,,,,
SUHJ,(3.51),-22.87,,,,
SURAJ,,,,,,
SURC,5.87,22.19,,,297.411,
SUTM,0.56,161.64,,,449.071,
SWL,(1.63),-26.99,,,,
SYM,0.03,336.33,,,7.192,
SYS,1.36,108.16,,,33.002,
SZTM,4.60,11.3,,,203.363,
TAJT,(0.07),-5.86,,,,
TATM,(30.81),-3.76,,,451.213,
TBL,(0.06),-150.17,,,,
TCLTC,,,,,,
TCORP,0.38,62.0,,,57.374,
TCORPCPS,,,,,,
TCORPR1,,,,,,
TDIL,0.56,44.29,,,,
TELE,(0.02),-397.5,,,11.851,
TGL,6.42,25.25,,,140.926,
THALL,48.51,13.23,,,701.736,
THAS,(1.08),-176.39,,,,
THCCL,1.46,36.79,,,18.843,
TICL,24.32,36.69,,,824.393,
TOMCL,0.08,399.75,,,33.386,
TOWL,0.89,132.84,,,528.459,
TPL,(0.92),-10.99,,,-4.369,
TPLI,(0.18),-144.5,,,14.038,
TPLL,(0.21),-107.71,,,,
TPLP,(3.14),-2.46,,,8.592,
TPLRF1,(0.10),-78.0,,,,
TPLT,(0.66),-20.24,,,7.49,
TREET,0.15,157.93,,,21.858,
TREI,,,,,,
TRG,(16.44),-3.24,,,76.386,
TRIBL,,,,,11.117,
TRIPF,1.05,115.8,,,124.219,
TRPOL,0.38,39.16,,,,
TRSM,,,,,11.703,
TSBL,(0.12),-15.33,,,1.442,
TSMF,(1.25),-14.74,,,,
TSML,2.71,111.11,,,125.743,
TSPL,0.01,941.0,,,11.778,
UBDL,(0.06),-375.0,,,0.02,
UBL,19.56,19.73,,,201.746,
UBLGSFO,,,,,,
UBLPETF,,,,,,
UCAPM,,,,,2.25,
UDLI,0.22,84.0,,,,
UDPL,6.33,18.06,,,19.344,
UNIC,1.11,11.29,,,19.169,
UNITY,,22.807144,,,15.662,
UNITYR1,,,,,,
UPFL,,19.582819,,,1249.513,
USMT,,,,,,
UVIC,(0.12),-160.75,,,14.544,
WAFI,10.11,19.46,,,,
WAHN,12.79,21.07,,,308.351,
WASL,,,,,,
WASLR,,,,,,
WAVES,0.25,39.4,,,37.551,
WAVESAPP,0.22,36.32,,,31.073,
WAVESR1,,,,,,
WHALE,0.10,80.1,,,,
WTL,(0.03),-43.33,,,-0.273,
WYETH,6.32,317.67,,,,
YOUW,(0.03),-212.33,,,,
ZAHID,1.43,37.83,,,112.869,
ZAL,(1.13),-39.43,,,,
ZELP,(0.27),-1.63,,,,
ZHCM,7.08,0.01,,,,
ZIL,0.22,1448.59,,,227.826,
ZTL,0.12,161.67,,,42.576,
ZUMA,4.04,15.98,,,,
